"","Y","M","D","HERD","FORG","TDNF","Date"
"1",2017,5,13,1,"WSPG",0.75,2017-05-13
"2",2017,5,13,1,"CSPG",0.7265,2017-05-13
"3",2017,5,14,1,"WSPG",0.75,2017-05-14
"4",2017,5,14,1,"CSPG",0.7237,2017-05-14
"5",2017,5,15,1,"WSPG",0.75,2017-05-15
"6",2017,5,15,1,"CSPG",0.7209,2017-05-15
"7",2017,5,16,1,"WSPG",0.75,2017-05-16
"8",2017,5,16,1,"CSPG",0.719,2017-05-16
"9",2017,5,17,1,"WSPG",0.75,2017-05-17
"10",2017,5,17,1,"CSPG",0.7176,2017-05-17
"11",2017,5,18,1,"WSPG",0.75,2017-05-18
"12",2017,5,18,1,"CSPG",0.7173,2017-05-18
"13",2017,5,19,1,"WSPG",0.75,2017-05-19
"14",2017,5,19,1,"CSPG",0.7173,2017-05-19
"15",2017,5,20,1,"WSPG",0.75,2017-05-20
"16",2017,5,20,1,"CSPG",0.7173,2017-05-20
"17",2017,5,21,1,"WSPG",0.75,2017-05-21
"18",2017,5,21,1,"CSPG",0.73,2017-05-21
"19",2017,5,22,1,"WSPG",0.75,2017-05-22
"20",2017,5,22,1,"CSPG",0.73,2017-05-22
"21",2017,5,23,1,"WSPG",0.75,2017-05-23
"22",2017,5,23,1,"CSPG",0.7296,2017-05-23
"23",2017,5,24,1,"WSPG",0.75,2017-05-24
"24",2017,5,24,1,"CSPG",0.7291,2017-05-24
"25",2017,5,25,1,"WSPG",0.75,2017-05-25
"26",2017,5,25,1,"CSPG",0.7284,2017-05-25
"27",2017,5,26,1,"WSPG",0.75,2017-05-26
"28",2017,5,26,1,"CSPG",0.7269,2017-05-26
"29",2017,5,27,1,"WSPG",0.75,2017-05-27
"30",2017,5,27,1,"CSPG",0.7288,2017-05-27
"31",2017,5,28,1,"WSPG",0.75,2017-05-28
"32",2017,5,28,1,"CSPG",0.729,2017-05-28
"33",2017,5,29,1,"WSPG",0.75,2017-05-29
"34",2017,5,29,1,"CSPG",0.73,2017-05-29
"35",2017,5,30,1,"WSPG",0.75,2017-05-30
"36",2017,5,30,1,"CSPG",0.73,2017-05-30
"37",2017,5,31,1,"WSPG",0.75,2017-05-31
"38",2017,5,31,1,"CSPG",0.7292,2017-05-31
"39",2017,6,1,1,"WSPG",0.75,2017-06-01
"40",2017,6,1,1,"CSPG",0.7284,2017-06-01
"41",2017,6,2,1,"WSPG",0.75,2017-06-02
"42",2017,6,2,1,"CSPG",0.7274,2017-06-02
"43",2017,6,3,1,"WSPG",0.75,2017-06-03
"44",2017,6,3,1,"CSPG",0.7263,2017-06-03
"45",2017,6,4,1,"WSPG",0.75,2017-06-04
"46",2017,6,4,1,"CSPG",0.7263,2017-06-04
"47",2017,6,5,1,"WSPG",0.75,2017-06-05
"48",2017,6,5,1,"CSPG",0.7259,2017-06-05
"49",2017,6,6,1,"WSPG",0.75,2017-06-06
"50",2017,6,6,1,"CSPG",0.7247,2017-06-06
"51",2017,6,7,1,"WSPG",0.75,2017-06-07
"52",2017,6,7,1,"CSPG",0.7237,2017-06-07
"53",2017,6,8,1,"WSPG",0.75,2017-06-08
"54",2017,6,8,1,"CSPG",0.7233,2017-06-08
"55",2017,6,9,1,"WSPG",0.75,2017-06-09
"56",2017,6,9,1,"CSPG",0.7231,2017-06-09
"57",2017,6,10,1,"WSPG",0.75,2017-06-10
"58",2017,6,10,1,"CSPG",0.7222,2017-06-10
"59",2017,6,11,1,"WSPG",0.75,2017-06-11
"60",2017,6,11,1,"CSPG",0.7216,2017-06-11
"61",2017,6,12,1,"WSPG",0.75,2017-06-12
"62",2017,6,12,1,"CSPG",0.7217,2017-06-12
"63",2017,6,13,1,"WSPG",0.7486,2017-06-13
"64",2017,6,13,1,"CSPG",0.721,2017-06-13
"65",2017,6,14,1,"WSPG",0.75,2017-06-14
"66",2017,6,14,1,"CSPG",0.7217,2017-06-14
"67",2017,6,15,1,"WSPG",0.7492,2017-06-15
"68",2017,6,15,1,"CSPG",0.726,2017-06-15
"69",2017,6,16,1,"WSPG",0.75,2017-06-16
"70",2017,6,16,1,"CSPG",0.7255,2017-06-16
"71",2017,6,17,1,"WSPG",0.7497,2017-06-17
"72",2017,6,17,1,"CSPG",0.7244,2017-06-17
"73",2017,6,18,1,"WSPG",0.75,2017-06-18
"74",2017,6,18,1,"CSPG",0.7228,2017-06-18
"75",2017,6,19,1,"WSPG",0.75,2017-06-19
"76",2017,6,19,1,"CSPG",0.7228,2017-06-19
"77",2017,6,20,1,"WSPG",0.7495,2017-06-20
"78",2017,6,20,1,"CSPG",0.7222,2017-06-20
"79",2017,6,21,1,"WSPG",0.7475,2017-06-21
"80",2017,6,21,1,"CSPG",0.73,2017-06-21
"81",2017,6,22,1,"WSPG",0.75,2017-06-22
"82",2017,6,22,1,"CSPG",0.73,2017-06-22
"83",2017,6,23,1,"WSPG",0.75,2017-06-23
"84",2017,6,23,1,"CSPG",0.73,2017-06-23
"85",2017,6,24,1,"WSPG",0.75,2017-06-24
"86",2017,6,24,1,"CSPG",0.73,2017-06-24
"87",2017,6,25,1,"WSPG",0.75,2017-06-25
"88",2017,6,25,1,"CSPG",0.73,2017-06-25
"89",2017,6,26,1,"WSPG",0.7492,2017-06-26
"90",2017,6,26,1,"CSPG",0.7294,2017-06-26
"91",2017,6,27,1,"WSPG",0.7476,2017-06-27
"92",2017,6,27,1,"CSPG",0.7278,2017-06-27
"93",2017,6,28,1,"WSPG",0.7452,2017-06-28
"94",2017,6,28,1,"CSPG",0.7252,2017-06-28
"95",2017,6,29,1,"WSPG",0.75,2017-06-29
"96",2017,6,29,1,"CSPG",0.7231,2017-06-29
"97",2017,6,30,1,"WSPG",0.75,2017-06-30
"98",2017,6,30,1,"CSPG",0.7212,2017-06-30
"99",2017,7,1,1,"WSPG",0.75,2017-07-01
"100",2017,7,1,1,"CSPG",0.7201,2017-07-01
"101",2017,7,2,1,"WSPG",0.75,2017-07-02
"102",2017,7,2,1,"CSPG",0.7184,2017-07-02
"103",2017,7,3,1,"WSPG",0.75,2017-07-03
"104",2017,7,3,1,"CSPG",0.7153,2017-07-03
"105",2017,7,4,1,"WSPG",0.7486,2017-07-04
"106",2017,7,4,1,"CSPG",0.7131,2017-07-04
