"","Year","Pasture","tag","OnDate","OnWeightToUse","OffDate","OffWeightToUse","days","gain","ADG","Mean_Minus2sd","Mean_Plus2sd","outliers","mean","sd","gain.kg","ADG.kg"
"1",2014,"15E","158",2014-05-16,734.7,2014-10-03,1082.52,140,347.82,2.48442857142857,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,157.770117028032,1.12692940734309
"2",2014,"15E","203",2014-05-16,680.76,2014-10-03,1034.16,140,353.4,2.52428571428571,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,160.301188424204,1.14500848874431
"3",2014,"15E","205",2014-05-16,703.08,2014-10-03,989.52,140,286.44,2.046,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,129.928331670144,0.928059511929602
"4",2014,"15E","363",2014-05-16,580.32,2014-10-03,762.6,140,182.28,1.302,1.30991043331021,2.55888956668979,"sd.flag",1.9344,0.624489566689792,82.6816656082736,0.590583325773383
"5",2014,"15E","369",2014-05-16,693.78,2014-10-03,931.86,140,238.08,1.70057142857143,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,107.99237956999,0.771374139785643
"6",2014,"15E","377",2014-05-16,559.86,2014-10-03,859.32,140,299.46,2.139,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,135.834164927878,0.970244035199129
"7",2014,"15E","521",2014-05-16,667.74,2014-10-03,909.54,140,241.8,1.72714285714286,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,109.679760500771,0.783426860719794
"8",2014,"15E","533",2014-05-16,598.92,2014-10-03,829.56,140,230.64,1.64742857142857,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,104.617617708428,0.747268697917342
"9",2014,"15E","554",2014-05-16,714.24,2014-10-03,1004.4,140,290.16,2.07257142857143,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,131.615712600925,0.940112232863753
"10",2014,"15E","608",2014-05-16,563.58,2014-10-03,837,140,273.42,1.953,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,124.02249841241,0.885874988660074
"11",2014,"15E","628",2014-05-16,643.56,2014-10-03,941.16,140,297.6,2.12571428571429,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,134.990474462488,0.964217674732054
"12",2014,"15E","631",2014-05-16,658.44,2014-10-03,911.4,140,252.96,1.80685714285714,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,114.741903293114,0.819585023522246
"13",2014,"15E","636",2014-05-16,654.72,2014-10-03,900.24,140,245.52,1.75371428571429,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,111.367141431552,0.795479581653944
"14",2014,"15E","663",2014-05-16,628.68,2014-10-03,853.74,140,225.06,1.60757142857143,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,102.086546312256,0.729189616516115
"15",2014,"15E","698",2014-05-16,591.48,2014-10-03,900.24,140,308.76,2.20542857142857,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,140.052617254831,1.00037583753451
"16",2014,"15E","716",2014-05-16,615.66,2014-10-03,905.82,140,290.16,2.07257142857143,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,131.615712600925,0.940112232863752
"17",2014,"15E","723",2014-05-16,637.98,2014-10-03,907.68,140,269.7,1.92642857142857,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,122.335117481629,0.873822267725924
"18",2014,"15E","907",2014-05-16,543.12,2014-10-03,807.24,140,264.12,1.88657142857143,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,119.804046085458,0.855743186324698
"19",2014,"15E","910",2014-05-16,624.96,2014-10-03,933.72,140,308.76,2.20542857142857,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,140.052617254831,1.00037583753451
"20",2014,"15E","931",2014-05-16,517.08,2014-10-03,727.26,140,210.18,1.50128571428571,1.30991043331021,2.55888956668979,"0",1.9344,0.624489566689792,95.3370225891318,0.680978732779513
"21",2014,"17N","105",2014-05-16,667.74,2014-10-03,996.96,140,329.22,2.35157142857143,1.66621489070713,2.7917461482539,"0",2.22898051948052,0.562765628773385,149.333212374127,1.06666580267233
"22",2014,"17N","119",2014-05-16,636.12,2014-10-03,961.62,140,325.5,2.325,1.66621489070713,2.7917461482539,"0",2.22898051948052,0.562765628773385,147.645831443346,1.05461308173818
"23",2014,"17N","186",2014-05-16,584.04,2014-10-03,931.86,140,347.82,2.48442857142857,1.66621489070713,2.7917461482539,"0",2.22898051948052,0.562765628773385,157.770117028032,1.12692940734309
"24",2014,"17N","20",2014-05-16,556.14,2014-10-03,850.02,140,293.88,2.09914285714286,1.66621489070713,2.7917461482539,"0",2.22898051948052,0.562765628773385,133.303093531706,0.952164953797903
