"","SA","ID","YR","YR.1","CPNM","GNAM","HERD","OWNER","GZNBhd","GZDd","GZSLkg.ha","GZSDkg.ha","HAYkg.ha","HAYd","WTGkg.hd.d","WSAha","PSTLkg.ha","PSTDkg.ha","PSTTkg.ha","POP","DMIkg.hd","PEAK_Time.YYYYMMDD.","Treatment"
"1",1,1,2014,7,"WSPG","STEERS",1,1,20,142,139.17,5.8,0,0,1.178,133.06,72.026,20.83,75.688,21.76,964.485,20140824,"TRM"
"2",1,1,2014,7,"CSPG","STEERS",1,1,20,142,13.44,3.36,0,0,1.178,133.06,21.248,14.154,22.347,0.45,111.798,20140723,"TRM"
"3",1,1,2014,7,"VUOC","STEERS",1,1,20,142,23.36,0.64,0,0,1.178,133.06,48.32,4.404,49.308,2.9,159.67,20140721,"TRM"
"4",1,1,2014,7,"FRB3","STEERS",1,1,20,142,20.42,2.92,0,0,1.178,133.06,62.616,39.113,67.755,0.82,155.31,20140918,"TRM"
"5",1,1,2014,7,"ATCA","STEERS",1,1,20,142,3.93,0,0,0,1.178,133.06,311.592,0,311.592,54.17,26.163,20140930,"TRM"
"6",2,2,2014,7,"WSPG","STEERS",2,1,20,142,170.89,6.86,0,0,1.163,125.35,463.972,252.041,473.834,26.5,1114.153,20140803,"TRM"
"7",2,2,2014,7,"CSPG","STEERS",2,1,20,142,26.71,6.4,0,0,1.163,125.35,177.214,135.519,188.567,0.8,207.557,20140728,"TRM"
"8",2,2,2014,7,"VUOC","STEERS",2,1,20,142,11.78,1.45,0,0,1.163,125.35,108.613,40.421,117.184,3.4,82.94,20140726,"TRM"
"9",2,2,2014,7,"FRB3","STEERS",2,1,20,142,10.07,1.42,0,0,1.163,125.35,156.66,121.944,167.653,0.4,72.021,20140910,"TRM"
"10",2,2,2014,7,"ATCA","STEERS",2,1,20,142,1.24,0,0,0,1.163,125.35,270.369,0,270.369,25,7.773,20140805,"TRM"
"11",3,3,2014,7,"WSPG","STEERS",3,1,20,142,150.18,5.46,0,0,1.147,126.08,349.483,175.661,358.075,17.95,981.123,20140803,"TRM"
"12",3,3,2014,7,"CSPG","STEERS",3,1,20,142,29.63,6.84,0,0,1.147,126.08,176.036,134.871,188.554,0.85,229.866,20140728,"TRM"
"13",3,3,2014,7,"VUOC","STEERS",3,1,20,142,16.99,2.23,0,0,1.147,126.08,154.588,67.263,168.818,4.88,121.163,20140725,"TRM"
"14",3,3,2014,7,"FRB3","STEERS",3,1,20,142,20.63,2.86,0,0,1.147,126.08,285.049,222.753,306.469,1.02,148.096,20140910,"TRM"
"15",4,4,2014,7,"WSPG","STEERS",4,1,20,142,187.11,8.78,0,0,1.178,127.63,441.182,222.13,451.414,27.01,1250.171,20140803,"TRM"
"16",4,4,2014,7,"CSPG","STEERS",4,1,20,142,18.14,4.4,0,0,1.178,127.63,98.632,69.865,104.346,0.45,143.854,20140727,"TRM"
"17",4,4,2014,7,"VUOC","STEERS",4,1,20,142,6.34,0.47,0,0,1.178,127.63,43.656,9.887,45.616,0.88,43.438,20140728,"TRM"
"18",4,4,2014,7,"FRB3","STEERS",4,1,20,142,7.25,1.07,0,0,1.178,127.63,83.455,59.26,86.893,0.2,53.143,20140907,"TRM"
"19",5,5,2014,7,"WSPG","STEERS",5,1,24,142,160.75,6.17,0,0,1.215,145.69,361.82,241.386,402.599,18.6,1013.228,20140830,"TRM"
"20",5,5,2014,7,"CSPG","STEERS",5,1,24,142,40.32,11.12,0,0,1.215,145.69,306.577,243.357,327.62,1.55,312.227,20140727,"TRM"
"21",5,5,2014,7,"VUOC","STEERS",5,1,24,142,3.28,0.19,0,0,1.215,145.69,28.256,6.226,29.178,0.5,21.076,20140730,"TRM"
"22",5,5,2014,7,"FRB3","STEERS",5,1,24,142,16.33,2.17,0,0,1.215,145.69,224.482,174.352,239.803,0.85,112.267,20140910,"TRM"
"23",5,5,2014,7,"ATCA","STEERS",5,1,24,142,4.24,0,0,0,1.215,145.69,1087.567,0,1087.567,570.83,25.744,20140930,"TRM"
"24",6,6,2014,7,"WSPG","STEERS",6,1,24,142,96.54,3.05,0,0,1.039,129.19,285.474,155.39,293.114,11.35,536.096,20140804,"TRM"
"25",6,6,2014,7,"CSPG","STEERS",6,1,24,142,107.36,39.6,0,0,1.039,129.19,1334.923,1117.506,1500.764,6.62,791.068,20140728,"TRM"
"26",6,6,2014,7,"VUOC","STEERS",6,1,24,142,0.87,0,0,0,1.039,129.19,12.787,1.224,13.419,0.1,4.673,20140806,"TRM"
"27",6,6,2014,7,"FRB3","STEERS",6,1,24,142,22.63,1.08,0,0,1.039,129.19,176.107,143.382,191.461,0.75,127.609,20140918,"TRM"
"28",6,6,2014,7,"ATCA","STEERS",6,1,24,142,2.99,0,0,0,1.039,129.19,1090.942,0,1090.942,583.33,16.105,20140930,"TRM"
"29",7,7,2014,7,"WSPG","STEERS",7,1,20,142,125.72,4.71,0,0,1.111,128.67,389.104,223.975,399.26,19.26,839.164,20140804,"TRM"
"30",7,7,2014,7,"CSPG","STEERS",7,1,20,142,59.5,21.43,0,0,1.111,128.67,648.045,542.069,719.205,3.05,520.721,20140728,"TRM"
"31",7,7,2014,7,"VUOC","STEERS",7,1,20,142,2.77,0.21,0,0,1.111,128.67,35.109,9.343,36.757,0.7,19.218,20140728,"TRM"
"32",7,7,2014,7,"FRB3","STEERS",7,1,20,142,14.32,1.34,0,0,1.111,128.67,184.778,144.827,197.507,0.63,100.758,20140910,"TRM"
"33",7,7,2014,7,"ATCA","STEERS",7,1,20,142,3.08,0,0,0,1.111,128.67,984.957,0,984.957,356.94,19.807,20140930,"TRM"
"34",8,8,2014,7,"WSPG","STEERS",8,1,22,142,145.33,5.86,0,0,1.113,126.23,390.673,213.04,401.368,19.38,867.511,20140803,"TRM"
"35",8,8,2014,7,"CSPG","STEERS",8,1,22,142,66.12,23.49,0,0,1.113,126.23,656.719,531.509,713.471,2.8,514.161,20140728,"TRM"
"36",8,8,2014,7,"VUOC","STEERS",8,1,22,142,1.55,0,0,0,1.113,126.23,16.248,1.823,16.908,0.17,8.889,20140804,"TRM"
"37",8,8,2014,7,"FRB3","STEERS",8,1,22,142,13.25,1.2,0,0,1.113,126.23,137.252,104.166,145.954,0.4,82.892,20140910,"TRM"
"38",8,8,2014,7,"ATCA","STEERS",8,1,22,142,4.49,0,0,0,1.113,126.23,1268.612,0,1268.612,1116.67,25.74,20140930,"TRM"
"39",9,9,2014,7,"WSPG","STEERS",9,1,21.99,142,111.87,3.83,0,0,1.083,128.63,313.922,175.892,322.231,16.85,676.862,20140804,"TRM"
"40",9,9,2014,7,"CSPG","STEERS",9,1,21.99,142,85.55,28.66,0,0,1.083,128.63,820.165,684.756,917.526,4.13,668.147,20140728,"TRM"
"41",9,9,2014,7,"VUOC","STEERS",9,1,21.99,142,3.65,0.34,0,0,1.083,128.63,44.65,14.856,47.163,1.07,23.356,20140728,"TRM"
"42",9,9,2014,7,"FRB3","STEERS",9,1,21.99,142,17.02,0.97,0,0,1.083,128.63,129.292,98.128,137.685,0.57,105.244,20140907,"TRM"
"43",9,9,2014,7,"ATCA","STEERS",9,1,21.99,142,0.55,0,0,0,1.083,128.63,114.186,0,114.186,5.56,3.228,20140629,"TRM"
"44",10,10,2014,7,"WSPG","STEERS",10,1,22,142,73.49,2.11,0,0,0.961,129.46,208.069,118.162,213.628,13.14,444.893,20140806,"TRM"
"45",10,10,2014,7,"CSPG","STEERS",10,1,22,142,114.75,36.72,0,0,0.961,129.46,1200.454,1016.751,1359.993,8.47,891.401,20140728,"TRM"
"46",10,10,2014,7,"VUOC","STEERS",10,1,22,142,2,0.13,0,0,0.961,129.46,28.236,6.948,29.38,0.52,12.54,20140728,"TRM"
"47",10,10,2014,7,"FRB3","STEERS",10,1,22,142,10.07,0.06,0,0,0.961,129.46,10.467,5.857,11.429,0.1,59.607,20140619,"TRM"
